的	u0
𪼸	rc
𪼹	rf
𪼺	dr
𪼻	rh
𪼼	ro
𪼽	jr
𪼾	hr
𪼿	rb
𪽀	qz
𪽁	ly
𪽂	al
𪽃	lu
𪽄	ls
𪽅	xl
𪽆	tu
𪽇	qk
𪽈	qe
𪽉	dt
𪽊	qp
𪽋	yq
𪽌	qv
𪽍	qz
𪽎	qz
𪽏	qk
𪽐	tp
𪽑	qq
𪽒	qp
𪽓	qg
𪽔	qe
𪽕	ns
𪽖	aq
𪽗	cm
𪽘	qg
𪽙	qu
𪽚	jq
𪽛	cq
𪽜	qr
𪽝	yd
𪽞	tq
𪽟	qw
𪽠	ud
𪽡	mq
𪽢	qc
𪽣	wq
𪽤	qf
𪽥	qz
𪽦	qp
𪽧	ut
𪽨	ag
𪽩	av
𪽪	ap
𪽫	ay
𪽬	aa
𪽭	ap
𪽮	ac
𪽯	ap
𪽰	ap
𪽱	as
𪽲	am
𪽳	ab
𪽴	ao
𪽵	ay
𪽶	an
𪽷	ah
𪽸	an
𪽹	av
𪽺	ab
𪽻	ue
𪽼	uv
𪽽	uf
𪽾	uo
𪽿	up
𪾀	uf
𪾁	uk
𪾂	up
𪾃	ug
𪾄	ur
𪾅	up
𪾆	rg
𪾇	rh
𪾈	rb
𪾉	rt
𪾊	oa
𪾋	pa
𪾌	za
𪾍	da
𪾎	la
𪾏	ya
𪾐	wa
𪾑	ua
𪾒	ka
𪾓	ga
𪾕	va
𪾖	ax
𪾗	qa
𪾘	za
𪾙	pa
𪾚	pa
𪾛	ka
𪾜	ya
𪾝	im
𪾞	ba
𪾟	qf
𪾠	qi
𪾡	qo
𪾣	qf
𪾤	qn
𪾥	qa
𪾦	qc
𪾧	qk
𪾨	qa
𪾩	qn
𪾪	qe
𪾫	qs
𪾬	qa
𪾭	qe
𪾮	qg
𪾯	qe
𪾰	qh
𪾱	qq
𪾲	qx
𪾳	qg
𪾴	qp
𪾵	qi
𪾶	qg
𪾷	qv
𪾸	qh
𪾹	qr
𪾺	wq
𪾻	yq
𪾼	qz
𪾽	qv
𪾾	qd
𪾿	qo
𪿀	qv
𪿁	tq
𪿂	wq
𪿃	uk
𪿄	qt
𪿅	qx
𪿆	it
𪿇	iv
𪿈	oe
𪿉	ot
𪿊	oc
𪿋	oh
𪿌	oe
𪿍	op
𪿎	ok
𪿏	oj
𪿐	op
𪿑	mp
𪿒	ma
𪿓	mf
𪿔	mp
𪿕	mg
𪿗	mv
𪿘	md
𪿙	mc
𪿚	mk
𪿛	mc
𪿜	ma
𪿝	km
𪿞	mk
𪿟	mf
𪿠	mv
𪿡	me
𪿢	mn
𪿣	mt
𪿤	mv
𪿥	mh
𪿦	mt
𪿧	my
𪿨	mr
𪿩	mc
𪿪	ma
𪿫	mb
𪿬	ma
𪿭	mj
𪿮	mh
𪿯	mu
𪿰	mh
𪿱	ma
𪿲	ma
𪿳	mz
𪿴	ml
𪿵	mu
𪿶	mi
𪿷	mq
𪿸	mg
𪿹	mv
𪿺	mn
𪿻	mi
𪿼	mk
𪿽	mj
𪿾	mq
𪿿	mh
𫀀	ff
𫀁	fb
𫀂	nf
𫀃	fj
𫀄	nf
𫀅	fd
𫀆	fv
𫀇	fa
𫀈	fd
𫀉	fa
𫀊	ft
𫀋	fj
𫀌	fv
𫀍	fi
𫀎	fs
𫀏	fp
𫀐	fs
𫀑	fn
𫀒	fe
𫀓	fd
𫀔	fe
𫀕	fa
𫀖	fx
𫀗	fp
𫀘	fk
𫀙	fh
𫀚	fa
𫀛	fm
𫀜	af
𫀝	of
𫀞	fd
𫀟	fx
𫀠	fr
𫀡	fh
𫀢	fa
𫀣	fh
𫀤	fw
𫀥	zo
𫀦	ti
𫀧	xu
𫀨	xe
𫀩	xn
𫀪	xq
𫀫	ta
𫀬	xb
𫀭	xv
𫀮	xb
𫀯	xo
𫀰	xw
𫀱	xd
𫀲	xp
𫀳	xx
𫀴	xg
𫀵	xa
𫀶	xp
𫀷	xh
𫀸	xd
𫀹	xv
𫀺	xx
𫀻	xj
𫀼	xh
𫀽	xv
𫀾	xt
𫀿	xj
𫁀	xu
𫁁	xq
𫁂	xk
𫁃	xa
𫁄	xv
𫁅	yk
𫁆	xa
𫁇	xe
𫁈	xh
𫁉	xb
𫁊	el
𫁋	ed
𫁌	eg
𫁍	ea
𫁎	ea
𫁏	ex
𫁐	et
𫁑	eh
𫁒	eu
𫁓	eq
𫁔	en
𫁕	es
𫁖	ea
𫁗	em
𫁘	ed
𫁙	eb
𫁚	ej
𫁛	ej
𫁜	ex
𫁝	ed
𫁞	ig
𫁟	ii
𫁠	ii
𫁢	in
𫁣	it
𫁤	ii
𫁥	id
𫁦	ic
𫁧	ik
𫁨	ig
𫁩	iz
𫁪	ii
𫁫	iv
𫁬	ie
𫁭	is
𫁮	fi
𫁯	xm
𫁰	ry
𫁱	rf
𫁲	rd
𫁳	rg
𫁴	rj
𫁵	rj
𫁶	ri
𫁷	rr
𫁸	rn
𫁹	rr
𫁺	rc
𫁻	rh
𫁼	ri
𫁽	rh
𫁾	rj
𫁿	ry
𫂀	rh
𫂁	rm
𫂂	rk
𫂃	rv
𫂄	ra
𫂅	rt
𫂆	ri
𫂇	ri
𫂈	ri
𫂉	ri
𫂊	rs
𫂋	re
𫂌	rv
𫂍	rn
𫂎	rm
𫂏	ri
𫂐	rk
𫂑	ra
𫂒	ra
𫂓	ro
𫂔	rn
𫂕	rd
𫂖	rr
𫂗	ru
𫂘	ry
𫂙	rh
𫂚	rk
𫂛	rf
𫂜	rh
𫂝	rl
𫂞	rk
𫂟	rz
𫂠	rh
𫂡	rm
𫂢	ro
𫂣	rv
𫂤	rw
𫂥	ro
𫂦	rf
𫂧	rx
𫂨	rq
𫂩	rs
𫂪	rb
𫂫	rk
𫂬	rw
𫂭	rs
𫂮	rv
𫂯	ri
𫂰	rf
𫂱	pp
𫂲	vp
𫂳	vp
𫂴	pe
𫂵	po
𫂶	pa
𫂷	pn
𫂸	pr
𫂹	pm
𫂺	pq
𫂻	po
𫂼	py
𫂽	pn
𫂾	pm
𫂿	bp
𫃀	pb
𫃁	pi
𫃂	pr
𫃃	pt
𫃄	ph
𫃅	pd
𫃆	op
𫃇	pq
𫃈	pa
𫃉	vs
𫃊	pq
𫃋	pn
𫃌	pt
𫃍	pt
𫃎	pz
𫃏	py
𫃐	ph
𫃑	ps
𫃒	pa
𫃓	pu
𫃔	pz
𫃕	ph
𫃖	pz
𫃗	pc
𫃘	pu
𫃙	su
𫃚	iy
𫃛	ta
𫃜	id
𫃝	ia
𫃞	ig
𫃟	ia
𫃠	iv
𫃡	ii
𫃢	ie
𫃣	ih
𫃤	ib
𫃥	ip
𫃦	ir
𫃧	iw
𫃨	ia
𫃩	ig
𫃪	iw
𫃫	il
𫃬	ir
𫃭	im
𫃮	in
𫃯	it
𫃰	it
𫃱	ib
𫃲	ir
𫃳	ii
𫃴	im
𫃵	ib
𫃶	is
𫃷	iq
𫃸	ib
𫃹	iu
𫃺	if
𫃻	ih
𫃼	ij
𫃽	ib
𫃾	in
𫃿	ii
𫄀	ig
𫄁	iv
𫄂	ib
𫄃	ih
𫄄	ib
𫄅	ih
𫄆	in
𫄇	iy
𫄈	is
𫄉	is
𫄊	if
𫄋	ik
𫄌	ib
𫄍	ix
𫄎	ib
𫄏	id
𫄐	ir
𫄑	ib
𫄒	ih
𫄓	im
𫄔	ic
𫄕	ii
𫄖	ia
𫄗	ip
𫄘	ik
𫄙	ia
𫄚	ib
𫄛	ia
𫄜	iv
𫄝	ig
𫄞	if
𫄟	ie
𫄠	if
𫄡	id
𫄢	im
𫄣	it
𫄦	is
𫄩	ik
𫄪	it
𫄫	im
𫄬	ie
𫄭	ih
𫄮	ia
𫄯	ih
𫄰	il
𫄱	id
𫄲	im
𫄳	is
𫄴	in
𫄵	ie
𫄹	id
𫄺	ag
𫄻	au
𫄼	ae
𫄽	ba
𫄾	aa
𫄿	la
𫅀	ya
𫅁	yv
𫅂	ym
𫅃	wn
𫅄	yw
𫅅	yq
𫅆	mb
𫅇	yz
𫅈	yh
𫅉	yv
𫅊	yd
𫅋	yo
𫅌	yk
𫅍	yt
𫅎	gm
𫅏	gs
𫅐	gm
𫅑	gf
𫅒	gd
𫅓	gg
𫅔	gi
𫅕	gb
𫅖	gd
𫅗	go
𫅘	gd
𫅙	gp
𫅚	gb
𫅛	gv
𫅜	jd
𫅝	gf
𫅞	id
𫅟	gh
𫅠	ge
𫅡	gd
𫅢	gz
𫅣	mz
𫅤	zk
𫅥	vz
𫅦	hz
𫅧	zg
𫅨	zy
𫅩	zb
𫅪	zr
𫅫	uz
𫅬	xz
𫅭	wz
𫅮	zt
𫅯	zu
𫅰	rz
𫅱	oz
𫅲	zt
𫅳	qv
𫅴	qr
𫅵	qh
𫅶	qo
𫅷	lq
𫅸	qc
𫅹	aq
𫅺	al
𫅻	ay
𫅼	au
𫅽	ao
𫅾	aq
𫅿	ao
𫆀	qz
𫆁	qe
𫆂	qn
𫆃	iq
𫆄	qa
𫆅	qn
𫆆	qo
𫆇	qe
𫆈	mq
𫆉	xq
𫆊	qm
𫆋	qn
𫆌	qa
𫆍	qv
𫆎	wq
𫆏	kq
𫆐	qn
𫆑	qo
𫆒	qh
𫆓	qt
𫆔	vb
𫆕	mb
𫆖	vi
𫆗	vz
𫆘	vi
𫆙	sv
𫆚	vd
𫆛	vp
𫆜	mv
𫆝	vt
𫆞	vu
𫆟	vs
𫆠	vp
𫆡	bg
𫆢	gv
𫆣	vc
𫆤	vz
𫆥	mo
𫆦	vq
𫆧	vb
𫆨	vp
𫆩	vu
𫆪	vh
𫆫	mr
𫆬	kv
𫆭	mu
𫆮	vi
𫆯	vh
𫆰	aj
𫆱	vm
𫆲	vh
𫆳	vr
𫆴	wv
𫆵	vh
𫆶	yv
𫆷	vb
𫆸	mk
𫆹	vk
𫆺	mr
𫆻	vp
𫆼	vl
𫆽	bv
𫆾	vh
𫆿	qu
𫇀	vs
𫇁	vl
𫇂	cb
𫇃	vx
𫇄	bt
𫇅	qe
𫇆	qq
𫇇	qp
𫇈	qn
𫇉	qz
𫇊	oh
𫇋	ok
𫇌	oa
𫇍	oq
𫇎	yx
𫇏	yj
𫇐	yf
𫇑	yx
𫇒	ep
𫇓	py
𫇔	ao
𫇕	jn
𫇖	ad
𫇗	ac
𫇘	ao
𫇙	ja
𫇚	il
𫇛	is
𫇜	id
𫇝	ir
𫇞	ir
𫇟	ih
𫇠	ik
𫇡	ih
𫇢	ip
𫇣	ip
𫇤	gm
𫇥	hy
𫇦	lw
𫇧	la
𫇨	lo
𫇩	lw
𫇪	lb
𫇫	lb
𫇬	lb
𫇮	ln
𫇯	la
𫇰	lo
𫇱	lh
𫇲	lg
𫇳	lf
𫇴	lb
𫇵	lv
𫇶	lg
𫇷	la
𫇸	lr
𫇹	lj
𫇺	lg
𫇻	le
𫇼	li
𫇽	lt
𫇾	lg
𫇿	lx
𫈀	le
𫈁	lq
𫈂	lx
𫈃	ln
𫈄	lj
𫈅	lh
𫈆	ld
𫈇	lv
𫈈	ld
𫈉	lo
𫈊	ll
𫈋	lv
𫈌	lh
𫈍	lw
𫈎	ls
𫈏	lt
𫈐	lg
𫈑	lv
𫈒	lt
𫈓	ls
𫈔	lw
𫈕	lz
𫈖	lc
𫈗	ld
𫈘	lb
𫈙	li
𫈚	lh
𫈛	ld
𫈜	ld
𫈝	lh
𫈞	li
𫈟	ly
𫈠	lg
𫈡	yu
𫈢	lh
𫈣	lz
𫈤	lk
𫈥	lz
𫈦	ln
𫈧	lv
𫈨	lp
𫈩	lz
𫈪	le
𫈫	le
𫈬	la
𫈭	lg
𫈮	ld
𫈯	li
𫈰	ld
𫈱	le
𫈲	lv
𫈳	ly
𫈴	lp
𫈵	lm
𫈶	ld
𫈷	ld
𫈸	la
𫈹	ly
𫈺	lk
𫈻	ly
𫈼	ln
𫈽	lc
𫈾	ls
𫈿	lr
𫉀	lp
𫉂	le
𫉃	lp
𫉅	lh
𫉆	lv
𫉇	lm
𫉈	lt
𫉉	ln
𫉊	lu
𫉋	lp
𫉌	lv
𫉍	lh
𫉎	ld
𫉏	lm
𫉐	ll
𫉑	le
𫉒	lr
𫉓	ho
𫉔	lg
𫉕	ld
𫉖	lh
𫉗	lt
𫉘	lt
𫉙	lp
𫉚	lm
𫉛	lb
𫉜	lo
𫉝	lh
𫉞	ln
𫉟	lw
𫉠	lq
𫉡	ln
𫉢	ld
𫉣	lv
𫉤	le
𫉥	ls
𫉦	lh
𫉧	lc
𫉨	lr
𫉩	lx
𫉪	lh
𫉫	lq
𫉬	lr
𫉭	le
𫉮	le
𫉯	lr
𫉰	ll
𫉱	li
𫉲	lg
𫉳	lm
𫉴	lc
𫉵	kt
𫉶	la
𫉷	lg
𫉸	le
𫉹	ln
𫉺	li
𫉻	lq
𫉼	lg
𫉽	lu
𫉾	lt
𫉿	lf
𫊀	lf
𫊁	lt
𫊂	ls
𫊃	ld
𫊄	lq
𫊅	la
𫊆	lr
𫊇	ld
𫊈	lu
𫊉	ls
𫊊	lv
𫊋	le
𫊌	lc
𫊍	la
𫊎	lg
𫊏	lg
𫊐	lp
𫊑	lq
𫊒	lg
𫊓	lx
𫊔	lc
𫊕	lf
𫊖	lq
𫊗	la
𫊘	lr
𫊙	lk
𫊚	lx
𫊛	lt
𫊜	lf
𫊝	zd
𫊞	zb
𫊟	zg
𫊠	za
𫊡	zo
𫊢	zq
𫊣	zw
𫊤	cv
𫊥	cg
𫊦	cg
𫊧	cp
𫊨	cv
𫊩	cc
𫊪	cp
𫊫	rc
𫊬	cm
𫊭	mc
𫊮	cc
𫊯	cn
𫊰	cy
𫊱	xc
𫊲	kc
𫊳	cb
𫊴	cr
𫊵	ck
𫊶	cm
𫊷	ce
𫊸	cp
𫊹	cb
𫊺	ci
𫊼	zc
𫊽	cp
𫊾	cz
𫊿	cl
𫋀	ce
𫋁	cn
𫋂	cb
𫋃	ct
𫋄	ct
𫋅	cu
𫋆	cz
𫋇	ce
𫋈	cl
𫋉	kc
𫋊	fc
𫋋	ca
𫋌	co
𫋍	cs
𫋎	co
𫋏	cd
𫋐	co
𫋑	cn
𫋒	nc
𫋓	cd
𫋔	cn
𫋕	cj
𫋖	cp
𫋗	cu
𫋘	cq
𫋙	cc
𫋚	ck
𫋛	cv
𫋜	ck
𫋝	ce
𫋞	cz
𫋟	ca
𫋠	cz
𫋡	xc
𫋢	cu
𫋣	cc
𫋤	ck
𫋥	cv
𫋦	cr
𫋧	cn
𫋨	ch
𫋩	cc
𫋪	tv
𫋫	aa
𫋬	tn
𫋭	pm
𫋮	pd
𫋯	pn
𫋰	po
𫋱	pb
𫋲	tb
𫋳	tl
𫋴	at
𫋵	tg
𫋶	tg
𫋷	tu
𫋸	tv
𫋹	tp
𫋺	tw
𫋻	tb
𫋼	ti
𫋽	tt
𫋾	ta
𫋿	th
𫌁	ta
𫌂	tb
𫌃	ti
𫌄	tt
𫌅	te
𫌆	tr
𫌇	tr
𫌈	tv
𫌉	tc
𫌊	tg
𫌋	tz
𫌌	tf
𫌍	xt
𫌎	vt
𫌏	at
𫌐	tn
𫌑	to
𫌒	tp
𫌓	tz
𫌔	tg
𫌕	ts
𫌖	ty
𫌗	tk
𫌘	tr
𫌙	to
𫌚	vx
𫌛	va
𫌜	eb
𫌝	ep
𫌞	ve
𫌟	fe
𫌠	je
𫌡	he
𫌢	eg
𫌣	ee
𫌤	ge
𫌥	be
𫌦	qe
𫌧	ew
𫌩	eg
𫌪	xe
𫌫	xe
𫌬	ve
𫌭	eh
𫌮	xa
𫌯	xp
𫌰	xe
𫌱	xg
𫌲	sl
𫌳	sb
𫌴	sv
𫌵	rs
𫌶	sf
𫌷	os
𫌸	js
𫌹	sf
𫌺	vs
𫌻	st
𫌼	sy
𫌽	sb
𫌾	si
𫌿	sb
𫍀	sz
𫍁	sg
𫍂	sq
𫍃	ss
𫍄	sc
𫍅	se
𫍆	sf
𫍇	sh
𫍈	sp
𫍉	si
𫍊	sg
𫍋	sd
𫍌	su
𫍍	si
𫍎	sp
𫍏	sv
𫍐	ss
𫍑	su
𫍒	so
𫍓	sc
𫍔	sp
𫍕	sh
𫍖	sh
𫍗	sn
𫍘	sc
𫍚	sm
𫍜	sk
𫍝	sy
𫍞	sn
𫍠	sz
𫍡	sv
𫍤	sp
𫍥	sw
𫍦	st
𫍧	sh
𫍨	sf
𫍩	sj
𫍪	sh
𫍫	sa
𫍬	sf
𫍭	sb
𫍮	sm
𫍰	sh
𫍱	sl
𫍳	sd
𫍴	sb
𫍵	sh
𫍶	sh
𫍷	sa
𫍸	sz
𫍹	sf
𫍺	sh
𫍼	sd
𫍾	sa
𫍿	sz
𫎀	hj
𫎁	qh
𫎂	xh
𫎃	xz
𫎄	za
𫎅	jf
𫎆	jj
𫎇	cj
𫎈	jm
𫎉	ej
𫎊	mp
𫎋	mv
𫎌	mb
𫎍	mv
𫎎	gg
𫎏	on
𫎐	oa
𫎑	og
𫎒	ol
𫎓	of
𫎔	jo
𫎕	or
𫎖	od
𫎗	od
𫎘	uo
𫎙	op
𫎚	yg
𫎛	bo
𫎜	ao
𫎝	ou
𫎞	og
𫎟	oo
𫎠	mo
𫎡	qo
𫎢	oo
𫎣	fi
𫎤	ho
𫎥	oo
𫎦	ot
𫎧	og
𫎨	of
𫎩	oe
𫎪	oe
𫎫	on
𫎬	xo
𫎭	gu
𫎮	gy
𫎯	go
𫎰	gq
𫎱	ps
𫎲	pf
𫎳	pn
𫎴	pd
𫎵	pp
𫎶	pk
𫎷	pt
𫎸	pt
𫎹	pk
𫎺	pe
𫎻	pl
𫎼	pb
𫎽	pa
𫎾	pz
𫎿	pb
𫏀	pk
𫏁	ph
𫏂	ph
𫏃	pp
𫏄	pz
𫏅	pm
𫏆	pi
𫏇	ph
𫏈	pm
𫏉	pd
𫏊	pg
𫏌	ph
𫏍	ph
𫏎	pg
𫏏	pv
𫏐	yp
𫏑	pl
𫏒	pm
𫏓	pv
𫏔	bp
𫏕	yp
𫏖	pr
𫏗	pr
𫏘	pa
𫏙	pb
𫏚	pd
𫏛	pr
𫏜	pf
𫏝	pf
𫏞	pt
𫏟	ps
𫏠	pe
𫏡	pw
𫏢	pj
𫏣	pf
𫏤	pv
𫏥	pa
𫏦	pp
𫏧	pl
𫏨	pg
𫏩	pu
𫏪	zc
𫏫	zr
𫏬	zz
𫏭	zh
𫏮	zu
𫏯	zr
𫏰	zz
𫏱	zo
𫏲	ya
𫏳	yp
𫏴	yu
𫏵	ay
𫏶	yj
𫏷	yg
𫏸	yz
𫏹	ya
𫏺	yr
𫏻	py
𫏼	hy
𫏽	ty
𫏾	ys
𫏿	yy
𫐀	ye
𫐁	ny
𫐂	wy
𫐃	yr
𫐅	yv
𫐆	ys
𫐇	yj
𫐈	yi
𫐉	yk
𫐊	ky
𫐋	uy
𫐌	yl
𫐍	yz
𫐎	yz
𫐏	yd
𫐑	yk
𫐒	ys
𫐔	ya
𫐕	yb
𫐖	ye
𫐗	yi
𫐘	yh
𫐙	yq
𫐚	na
𫐛	nm
𫐜	nh
𫐝	nk
𫐞	gu
𫐟	pu
𫐠	eu
𫐡	ju
𫐢	cu
𫐣	fu
𫐤	xu
𫐥	qu
𫐦	cu
𫐧	uu
𫐨	gu
𫐩	ju
𫐪	su
𫐫	gu
𫐬	lu
𫐭	yu
𫐮	ju
𫐯	pu
𫐰	pu
𫐱	wu
𫐲	wu
𫐳	ug
𫐴	ju
𫐵	xu
𫐶	wu
𫐷	pu
𫐸	wu
𫐹	cu
𫐺	zu
𫐻	nu
𫐼	iu
𫐽	pu
𫐾	ju
𫐿	xu
𫑀	pu
𫑁	mu
𫑂	nu
𫑃	xu
𫑄	tu
𫑅	xu
𫑆	cu
𫑇	tu
𫑈	wu
𫑉	lu
𫑊	su
𫑋	xu
𫑌	fu
𫑍	cu
𫑎	ru
𫑏	au
𫑐	xu
𫑑	fu
𫑒	xu
𫑓	tu
𫑔	cu
𫑕	iu
𫑖	fu
𫑗	bt
𫑘	mt
𫑙	bt
𫑚	ft
𫑛	nt
𫑜	pt
𫑝	nt
𫑞	yt
𫑟	st
𫑠	pt
𫑢	ag
𫑣	dt
𫑤	qt
𫑥	ft
𫑦	ot
𫑧	nt
𫑨	wt
𫑩	gt
𫑪	tt
𫑫	wt
𫑬	vt
𫑭	xt
𫑮	xt
𫑯	in
𫑰	tt
𫑱	iv
𫑲	yt
𫑳	yi
𫑴	yh
𫑵	ym
𫑶	yz
𫑷	yf
𫑸	ya
𫑹	yj
𫑺	yr
𫑻	yd
𫑼	yk
𫑽	yx
𫑾	yf
𫑿	yc
𫒀	ta
𫒁	dr
𫒂	xd
𫒃	lv
𫒄	pd
𫒅	lr
𫒆	zf
𫒇	zr
𫒈	zb
𫒉	zt
𫒊	za
𫒋	zh
𫒌	zp
𫒍	zn
𫒎	zk
𫒏	za
𫒐	zv
𫒑	za
𫒒	zf
𫒓	zy
𫒔	zg
𫒕	zg
𫒖	zv
𫒗	zt
𫒘	za
𫒙	zk
𫒚	zc
𫒛	zh
𫒜	zg
𫒝	zb
𫒞	zl
𫒟	zx
𫒠	zi
𫒡	zt
𫒢	ze
𫒣	zz
𫒤	zh
𫒥	zh
𫒦	zf
𫒧	zt
𫒨	zg
𫒩	zu
𫒪	zp
𫒫	zi
𫒬	zl
𫒭	zi
𫒮	zk
𫒯	zp
𫒰	zv
𫒱	zo
𫒲	za
𫒳	zv
𫒴	zs
𫒵	zk
𫒶	zm
𫒷	zy
𫒸	zo
𫒹	zv
𫒺	tz
𫒻	zq
𫒼	zu
𫒽	zb
𫒾	zj
𫒿	zr
𫓀	zs
𫓁	zf
𫓂	zi
𫓃	zh
𫓄	zk
𫓅	zn
𫓆	zk
𫓇	zm
𫓈	zv
𫓉	zd
𫓊	zr
𫓋	zs
𫓌	zd
𫓍	zh
𫓎	zb
𫓏	zh
𫓐	zz
𫓑	zh
𫓒	zf
𫓓	wz
𫓔	zp
𫓕	za
𫓖	hz
𫓗	zg
𫓘	zj
𫓙	zu
𫓚	zn
𫓛	zu
𫓜	zg
𫓝	zz
𫓞	zd
𫓟	zn
𫓠	zq
𫓡	zh
𫓢	zh
𫓣	zc
𫓤	zr
𫓥	zh
𫓦	zh
𫓨	zp
𫓪	zk
𫓫	za
𫓬	zr
𫓭	zm
𫓮	zb
𫓰	zf
𫓱	zp
𫓲	zo
𫓳	za
𫓴	zq
𫓵	zf
𫓷	zt
𫓸	zh
𫓺	zs
𫓻	zh
𫓼	zd
𫓽	zf
𫓾	zv
𫓿	ze
𫔀	zh
𫔁	zo
𫔂	zt
𫔃	ze
𫔄	ze
𫔅	zi
𫔆	zk
𫔇	zv
𫔈	zv
𫔉	zb
𫔊	zu
𫔋	ze
𫔌	zh
𫔏	zh
𫔐	zc
𫔑	zf
𫔒	zc
𫔓	zu
𫔔	zd
𫔕	zw
𫔖	pt
𫔗	ph
𫔘	ag
𫔙	ua
𫔚	ag
𫔛	av
𫔜	ac
𫔝	aq
𫔞	ad
𫔟	ap
𫔠	aw
𫔡	az
𫔢	ag
𫔣	ap
𫔤	au
𫔥	ah
𫔦	el
𫔧	aj
𫔨	aq
𫔩	am
𫔪	ah
𫔫	am
𫔬	fa
𫔭	al
𫔮	av
𫔯	aj
𫔰	al
𫔱	ac
𫔲	ah
𫔳	au
𫔴	au
𫔵	ah
𫔷	ah
𫔸	pa
𫔹	aa
𫔺	tm
𫔻	tv
𫔼	td
𫔽	tg
𫔾	tq
𫔿	ta
𫕀	tm
𫕁	td
𫕂	tk
𫕃	th
𫕄	th
𫕅	tq
𫕆	ti
𫕇	tg
𫕈	tf
𫕉	tr
𫕊	tr
𫕋	tg
𫕌	ti
𫕍	tf
𫕎	tz
𫕏	tm
𫕐	tb
𫕑	tq
𫕒	tc
𫕓	td
𫕔	ty
𫕕	td
𫕖	ta
𫕗	ti
𫕘	tf
𫕙	vk
𫕚	uj
𫕛	au
𫕜	xu
𫕝	tz
𫕞	tg
𫕟	tv
𫕠	tm
𫕡	tv
𫕢	tk
𫕣	kb
𫕤	tg
𫕥	to
𫕦	tv
𫕧	tp
𫕨	te
𫕩	tu
𫕪	tp
𫕫	tf
𫕬	ts
𫕭	tn
𫕮	tt
𫕯	tc
𫕰	tu
𫕱	te
𫕲	tu
𫕳	tx
𫕴	tf
𫕵	tg
𫕶	tg
𫕷	tu
𫕸	ag
𫕹	al
𫕺	au
𫕻	av
𫕼	ap
𫕽	jr
𫕾	yr
𫕿	gr
𫖀	be
𫖁	bw
𫖂	ab
𫖄	jb
𫖅	tt
𫖆	th
𫖇	tn
𫖈	zt
𫖉	tt
𫖊	tn
𫖋	tr
𫖌	fg
𫖍	gr
𫖎	gg
𫖏	gr
𫖐	tg
𫖑	ga
𫖒	gn
𫖓	gn
𫖕	gg
𫖖	gz
𫖗	xj
𫖙	xo
𫖚	xh
𫖛	xu
𫖜	xe
𫖝	vw
𫖞	tw
𫖟	ew
𫖠	uw
𫖡	gw
𫖢	ow
𫖣	yw
𫖤	xw
𫖥	ow
𫖦	os
𫖧	wy
𫖨	jw
𫖩	ow
𫖪	ew
𫖫	ww
𫖬	we
𫖭	kw
𫖰	lw
𫖱	iw
𫖲	dw
𫖴	aw
𫖵	tw
𫖶	mw
𫖷	lw
𫖸	xw
𫖺	ew
𫖻	hc
𫖼	oe
𫖽	or
𫖾	jm
𫖿	om
𫗀	ok
𫗁	ou
𫗂	ou
𫗃	oh
𫗄	oh
𫗅	oc
𫗆	oh
𫗇	oo
𫗈	oh
𫗉	ou
𫗊	ox
𫗋	ot
𫗌	mc
𫗍	qq
𫗎	qn
𫗏	qv
𫗐	qn
𫗑	qr
𫗒	qb
𫗓	qd
𫗔	qm
𫗕	qg
𫗖	qb
𫗗	qq
𫗘	qa
𫗙	qo
𫗚	kq
𫗛	qp
𫗜	ql
𫗝	qa
𫗞	qe
𫗟	qp
𫗠	qp
𫗡	qc
𫗢	qw
𫗣	qt
𫗤	qb
𫗥	qy
𫗦	qn
𫗨	qi
𫗩	ql
𫗪	qb
𫗬	qm
𫗭	qt
𫗮	qn
𫗯	qo
𫗱	qc
𫗲	qt
𫗳	qc
𫗵	qf
𫗶	hn
𫗷	he
𫗸	ho
𫗹	hi
𫗺	hh
𫗻	hv
𫗼	xg
𫗽	xn
𫗾	xa
𫗿	xc
𫘀	xh
𫘁	xo
𫘂	xe
𫘃	xe
𫘄	xo
𫘅	ni
𫘆	nh
𫘇	np
𫘈	nr
𫘉	nc
𫘊	nv
𫘋	nv
𫘌	nz
𫘍	nd
𫘎	qn
𫘏	nb
𫘐	nd
𫘑	nm
𫘒	nk
𫘓	nh
𫘔	nc
𫘕	nc
𫘖	in
𫘗	nj
𫘘	pn
𫘙	nx
𫘚	nh
𫘛	ne
𫘞	ne
𫘟	nr
𫘠	ny
𫘡	nm
𫘢	nd
𫘣	ne
𫘥	nv
𫘩	nn
𫘫	nb
𫘭	nb
𫘮	nc
𫘯	no
𫘰	nf
𫘱	nd
𫘲	fo
𫘳	fu
𫘴	fy
𫘵	gr
𫘶	tg
𫘷	gn
𫘸	pa
𫘹	pi
𫘺	pb
𫘻	po
𫘼	pd
𫘽	pb
𫘾	pf
𫘿	pd
𫙀	po
𫙁	pp
𫙂	pb
𫙃	pp
𫙄	ng
𫙅	nt
𫙆	bn
𫙇	bn
𫙈	ah
𫙉	ab
𫙊	ag
𫙋	xa
𫙌	ga
𫙍	aa
𫙎	an
𫙏	wn
𫙐	wl
𫙑	wr
𫙒	wg
𫙓	wb
𫙔	wc
𫙕	we
𫙖	wv
𫙗	wd
𫙘	wv
𫙙	wm
𫙚	wp
𫙛	wa
𫙜	wb
𫙝	wh
𫙞	wr
𫙟	wb
